#{"t_start": 1763843689.5770948, "env_id": "None"}
r,l,t,win
-19.51,109,6967.945487,0
58.16,53,6968.449972,0
55.58,78,6969.159246,0
-37.68,42,6969.613177,0
0.45,121,6970.751554,0
52.63,37,6971.061779,0
-45.38,17,6971.194822,0
-18.87,158,6972.632135,0
60.38,68,6973.231007,0
-692.7,228,6975.251181,0
44.86,188,6976.959984,0
41.46,60,6977.482086,0
-33.91,163,6978.898287,0
-102.93,80,6979.635763,0
-193.35,126,6980.745469,0
-146.93,99,6981.678082,0
-98.68,105,6982.606466,0
-90.43,74,6983.292663,0
-102.22,92,6984.190199,0
61.91,60,6984.751599,0
49.95,22,6984.937275,0
63.1,62,6985.565755,0
16.64,113,6986.66094,0
-320.82,136,6988.020905,0
-78.23,38,6988.404198,0
-34.65,66,6989.023561,0
-142.77,141,6990.300838,0
-29.32,74,6990.996513,0
-38.46,46,6991.414581,0
-47.2,81,6992.168719,0
-33.87,71,6992.784184,0
60.01,81,6993.504456,0
50.6,30,6993.818793,0
-69.71,82,6994.597321,0
69.04,113,6995.665449,0
-33.42,71,6996.260475,0
-36.92,70,6996.946603,0
-30.61,171,6998.518468,0
56.06,83,6999.239847,0
-96.97,76,6999.952283,0
51.58,136,7001.23578,0
-30.51,63,7001.842059,0
-135.66,78,7002.605205,0
-30.29,65,7003.222686,0
-162.25,177,7004.790587,0
-491.4,185,7006.478956,0
-36.28,55,7006.98498,0
-171.76,121,7008.036666,0
-34.97,100,7009.012004,0
-69.29,72,7009.760853,0
-27.25,96,7010.758185,0
-693.06,211,7012.728851,0
-111.39,76,7013.408692,0
-39.7,74,7014.085308,0
-43.38,38,7014.453287,0
-231.22,116,7015.518882,0
-32.23,82,7016.428411,0
-121.97,173,7018.091822,0
-42.09,25,7018.307413,0
-210.78,143,7019.604302,0
-808.96,374,7023.188598,0
-136.89,92,7024.08867,0
-33.63,72,7024.825381,0
-331.87,126,7025.994762,0
-45.3,78,7026.644287,0
56.93,42,7027.031525,0
-40.05,20,7027.208047,0
-27.92,126,7028.317649,0
-33.84,61,7028.955129,0
61.52,63,7029.555267,0
13.74,95,7030.419094,0
-16.27,53,7030.898824,0
-487.29,181,7032.542242,0
62.97,63,7033.16108,0
58.66,69,7033.781564,0
-214.6,150,7035.149914,0
-29.57,81,7035.865661,0
-33.81,64,7036.447204,0
66.7,124,7037.64097,0
52.09,22,7037.85924,0
-531.8,302,7040.678908,0
-44.45,92,7041.540081,0
-61.36,39,7041.897549,0
-42.77,25,7042.114324,0
-152.68,120,7043.229828,0
-96.8,47,7043.677524,0
-38.18,49,7044.111978,0
-168.52,136,7045.42763,0
-31.62,89,7046.407915,0
-17.36,83,7047.137551,0
-83.33,92,7047.79074,0
63.96,77,7048.247365,0
60.29,76,7048.688091,0
63.09,76,7049.143712,0
-268.34,143,7049.96307,0
-74.3,71,7050.396414,0
-34.39,61,7050.745639,0
-28.92,94,7051.324126,0
-36.05,61,7051.681797,0
-147.56,102,7052.29617,0
-209.4,96,7052.869954,0
-187.59,164,7053.852504,0
-180.8,78,7054.331776,0
37.89,136,7055.153475,0
-205.75,110,7055.832352,0
5.75,89,7056.378445,0
-172.92,89,7056.912111,0
56.07,37,7057.131858,0
-442.81,213,7058.442408,0
-3.77,49,7058.731098,0
-37.84,41,7058.965845,0
-34.78,38,7059.199781,0
-91.4,183,7060.296742,0
30.73,60,7060.670079,0
-36.69,67,7061.085066,0
57.13,69,7061.501117,0
56.17,50,7061.822525,0
-34.45,81,7062.312179,0
57.52,61,7062.701844,0
63.81,71,7063.287853,0
-109.0,114,7064.819748,0
-71.44,65,7065.538749,0
33.38,129,7067.583833,0
-148.08,100,7068.656395,0
53.87,33,7069.006444,0
-173.24,90,7070.224575,0
-150.0,116,7071.756491,0
10.37,105,7072.914723,0
53.62,49,7073.618765,0
-108.88,163,7075.897278,0
52.79,64,7077.039612,0
44.74,112,7078.364584,0
-80.8,58,7078.900381,0
-36.37,40,7079.362663,0
66.76,124,7080.72511,0
61.14,63,7081.33452,0
-35.03,60,7082.043318,0
-37.27,84,7082.916555,0
-90.12,50,7083.275957,0
-40.37,34,7083.482027,0
60.94,73,7083.94902,0
71.53,113,7084.672598,0
-88.67,106,7085.484844,0
-158.59,75,7086.542414,0
0.58,117,7089.051876,0
58.96,71,7090.021172,0
54.66,79,7090.966733,0
55.23,59,7091.615586,0
-68.21,101,7092.798456,0
-33.21,46,7093.529385,0
-112.65,100,7095.522217,0
-37.7,41,7096.150069,0
-29.96,99,7097.396084,0
-23.04,123,7098.998776,0
-39.09,43,7099.662299,0
58.81,55,7100.740401,0
58.22,65,7101.583158,0
-273.92,145,7103.50169,0
-27.25,91,7105.135016,0
202.88,9,7105.228843,1
-32.72,67,7105.725483,0
58.88,51,7106.153493,0
59.46,75,7339.451307,0
-93.62,114,7340.152175,0
53.03,40,7340.375023,0
-156.13,83,7340.866819,0
-29.32,93,7341.399634,0
-295.01,185,7342.588333,0
-33.3,128,7343.339226,0
-117.03,144,7344.158984,0
12.42,48,7344.445492,0
-18.57,128,7345.348162,0
58.4,69,7345.7709,0
62.6,74,7346.270077,0
-707.06,261,7348.46992,0
-8.91,72,7349.467968,0
-39.89,41,7349.752681,0
-116.34,138,7351.7376,0
-612.6,265,7354.584962,0
-94.31,54,7355.771027,0
-34.74,72,7356.576932,0
-30.73,67,7357.971673,0
-53.28,182,7361.275224,0
-107.91,94,7363.209852,0
-28.6,106,7365.79845,0
54.59,44,7366.242809,0
-49.74,109,7368.906968,0
-276.73,111,7371.676046,0
51.3,85,7373.330637,0
48.62,15,7373.537028,0
43.39,76,7374.395445,0
-216.41,94,7375.462024,0
-29.39,72,7376.383695,0
-70.41,189,7380.092729,0
-59.47,150,7382.017124,0
-1.15,136,7383.992874,0
55.41,95,7385.359131,0
57.91,64,7386.258602,0
-39.31,32,7386.698828,0
52.63,35,7387.184909,0
-298.87,185,7389.838327,1
-33.72,82,7390.941813,0
-114.36,81,7391.97621,0
-110.72,99,7394.196714,0
